Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,Sale Type,Sale Condition,Age,year_since_remod
1,526301100,3.044522437723423,RL,4.955827057601261,31770,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,4.727387818712341,TA,TA,CBlock,TA,Gd,Gd,BLQ,6.461468176353717,Unf,0.0,6.091309882077698,1080.0,GasA,Fa,Y,SBrkr,7.4127640174265625,0.0,0.0,7.4127640174265625,1.0,0.0,1,0,3,0.6931471805599453,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,5.351858133476067,4.143134726391533,5,2010,WD ,Normal,50,50
2,526350040,3.044522437723423,RH,4.394449154672439,11622,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.150602768446279,LwQ,4.976733742420574,5.602118820879701,882.0,GasA,TA,Y,SBrkr,6.799055862058796,0.0,0.0,6.799055862058796,0.0,0.0,1,0,2,0.6931471805599453,TA,5,Typ,0,,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,4.948759890378168,0.0,6,2010,WD ,Normal,49,49
3,526351010,3.044522437723423,RL,4.406719247264253,14267,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.6913478822291435,TA,TA,CBlock,TA,TA,No,ALQ,6.828712071641684,Unf,0.0,6.008813185442595,1329.0,GasA,TA,Y,SBrkr,7.1929342212158,0.0,0.0,7.1929342212158,0.0,0.0,1,1,3,0.6931471805599453,Gd,6,Typ,0,,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,5.976350909297934,3.6109179126442243,6,2010,WD ,Normal,52,52
4,526353030,3.044522437723423,RL,4.543294782270004,11160,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,6.97166860472579,Unf,0.0,6.952728644624869,2110.0,GasA,Ex,Y,SBrkr,7.65491704784832,0.0,0.0,7.65491704784832,1.0,0.0,2,1,3,0.6931471805599453,Ex,8,Typ,2,TA,Attchd,1968.0,Fin,2.0,522.0,TA,TA,Y,0.0,0.0,4,2010,WD ,Normal,42,42
5,527105010,4.110873864173311,RL,4.31748811353631,13830,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.674561391814426,Unf,0.0,4.927253685157205,928.0,GasA,Gd,Y,SBrkr,6.834108738813838,6.553933404025811,0.0,7.396335293800808,0.0,0.0,2,1,3,0.6931471805599453,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,5.3612921657094255,3.5553480614894135,3,2010,WD ,Normal,13,12
6,527105030,4.110873864173311,RL,4.3694478524670215,9978,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,3.044522437723423,TA,TA,PConc,TA,TA,No,GLQ,6.401917196727186,Unf,0.0,5.783825182329737,926.0,GasA,Ex,Y,SBrkr,6.831953565565855,6.520621127558696,0.0,7.380879035564116,0.0,0.0,2,1,3,0.6931471805599453,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,TA,Y,5.8888779583328805,3.6109179126442243,6,2010,WD ,Normal,12,12
7,527127150,4.795790545596741,RL,3.7376696182833684,4920,Pave,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,6.424869023905388,Unf,0.0,6.583409222158765,1338.0,GasA,Ex,Y,SBrkr,7.199678345691172,0.0,0.0,7.199678345691172,1.0,0.0,2,0,2,0.6931471805599453,Gd,6,Typ,0,,Attchd,2001.0,Fin,2.0,582.0,TA,TA,Y,0.0,0.0,4,2010,WD ,Normal,9,9
8,527145080,4.795790545596741,RL,3.784189633918261,5005,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,ALQ,5.575949103146316,Unf,0.0,6.925595197110468,1280.0,GasA,Ex,Y,SBrkr,7.155396301896734,0.0,0.0,7.155396301896734,0.0,0.0,2,0,2,0.6931471805599453,Gd,5,Typ,0,,Attchd,1992.0,RFn,2.0,506.0,TA,TA,Y,0.0,4.418840607796598,1,2010,WD ,Normal,18,18
9,527146030,4.795790545596741,RL,3.6888794541139363,5389,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,7.074116816197362,Unf,0.0,6.030685260261263,1595.0,GasA,Ex,Y,SBrkr,7.388327859577107,0.0,0.0,7.388327859577107,1.0,0.0,2,0,2,0.6931471805599453,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,2.0,608.0,TA,TA,Y,5.472270673671475,5.030437921392435,3,2010,WD ,Normal,15,14
10,527162130,4.110873864173311,RL,4.110873864173311,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,6.902742737158593,994.0,GasA,Gd,Y,SBrkr,6.9363427358340495,6.655440350367647,0.0,7.498315870766981,0.0,0.0,2,1,3,0.6931471805599453,Gd,7,Typ,1,TA,Attchd,1999.0,Fin,2.0,442.0,TA,TA,Y,4.948759890378168,4.110873864173311,6,2010,WD ,Normal,11,11
