iter	Passed	Remaining
0	12	12219
1	23	11610
2	34	11417
3	44	11194
4	56	11199
5	66	11087
6	76	10907
7	87	10823
8	97	10687
9	107	10678
10	118	10632
11	128	10574
12	139	10582
13	150	10568
14	161	10581
15	175	10786
16	190	11017
17	202	11036
18	215	11112
19	234	11514
20	249	11632
21	261	11631
22	275	11681
23	286	11652
24	298	11625
25	308	11570
26	319	11514
27	329	11450
28	344	11537
29	356	11536
30	370	11595
31	388	11744
32	402	11799
33	421	11982
34	448	12359
35	463	12405
36	478	12446
37	488	12375
38	502	12384
39	516	12401
40	530	12415
41	544	12423
42	556	12383
43	568	12345
44	582	12371
45	597	12388
46	610	12375
47	628	12472
48	645	12530
49	661	12564
50	673	12538
51	684	12481
52	699	12497
53	714	12515
54	726	12482
55	740	12476
56	752	12455
57	763	12405
58	776	12391
59	791	12405
60	804	12381
61	818	12380
62	831	12369
63	846	12377
64	859	12367
65	875	12393
66	888	12366
67	901	12349
68	913	12332
69	924	12288
70	939	12293
71	957	12344
72	974	12378
73	985	12336
74	997	12302
75	1008	12263
76	1021	12239
77	1034	12224
78	1051	12259
79	1066	12259
80	1078	12240
81	1091	12219
82	1101	12171
83	1113	12143
84	1125	12118
85	1136	12081
86	1151	12084
87	1163	12062
88	1176	12037
89	1189	12024
90	1201	12002
91	1223	12071
92	1237	12065
93	1248	12037
94	1264	12048
95	1281	12066
96	1298	12089
97	1311	12073
98	1324	12056
99	1342	12080
100	1355	12066
101	1371	12073
102	1384	12053
103	1395	12026
104	1408	12001
105	1420	11978
106	1439	12015
107	1453	12003
108	1466	11984
109	1484	12011
110	1497	11992
111	1512	11989
112	1525	11972
113	1537	11951
114	1549	11924
115	1566	11934
116	1578	11911
117	1592	11903
118	1606	11892
119	1620	11886
120	1634	11872
121	1652	11894
122	1665	11878
123	1681	11879
124	1694	11860
125	1710	11868
126	1739	11955
127	1753	11947
128	1779	12016
129	1790	11979
130	1801	11950
131	1812	11920
132	1823	11887
133	1833	11852
134	1846	11830
135	1859	11815
136	1877	11825
137	1889	11803
138	1910	11835
139	1922	11810
140	1933	11776
141	1944	11746
142	1956	11722
143	1966	11689
144	1977	11661
145	1988	11633
146	1998	11597
147	2010	11573
148	2021	11544
149	2031	11511
150	2043	11488
151	2054	11463
152	2067	11447
153	2081	11432
154	2102	11460
155	2112	11430
156	2126	11415
157	2138	11395
158	2150	11372
159	2166	11372
160	2177	11344
161	2188	11320
162	2200	11299
163	2211	11273
164	2221	11243
165	2233	11222
166	2244	11193
167	2258	11186
168	2271	11167
169	2285	11157
170	2299	11148
171	2313	11137
172	2326	11121
173	2344	11129
174	2357	11112
175	2376	11125
176	2388	11104
177	2406	11114
178	2420	11101
179	2434	11090
180	2452	11097
181	2468	11095
182	2482	11081
183	2496	11071
184	2510	11058
185	2522	11040
186	2534	11020
187	2553	11030
188	2566	11011
189	2580	11000
190	2594	10989
191	2606	10970
192	2619	10952
193	2631	10931
194	2648	10935
195	2663	10924
196	2677	10913
197	2694	10913
198	2709	10904
199	2773	11095
200	2806	11154
201	2860	11301
202	2899	11383
203	2961	11555
204	2996	11618
205	3012	11611
206	3024	11587
207	3077	11717
208	3088	11689
209	3103	11674
210	3116	11654
211	3129	11631
212	3144	11618
213	3155	11588
214	3173	11585
215	3186	11566
216	3200	11548
217	3221	11554
218	3233	11529
219	3245	11505
220	3256	11480
221	3267	11450
222	3281	11433
223	3294	11413
224	3306	11388
225	3316	11357
226	3328	11336
227	3340	11311
228	3350	11281
229	3362	11256
230	3375	11237
231	3388	11216
232	3400	11194
233	3411	11168
234	3428	11161
235	3441	11140
236	3457	11131
237	3470	11111
238	3486	11100
239	3500	11083
240	3512	11063
241	3526	11044
242	3542	11035
243	3562	11036
244	3579	11029
245	3609	11064
246	3633	11076
247	3645	11054
248	3658	11034
249	3677	11031
250	3690	11012
251	3703	10991
252	3717	10975
253	3729	10954
254	3740	10929
255	3753	10908
256	3772	10906
257	3786	10888
258	3802	10878
259	3818	10867
260	3832	10851
261	3845	10831
262	3858	10813
263	3870	10791
264	3884	10774
265	3897	10755
266	3911	10737
267	3928	10729
268	3943	10716
269	3958	10703
270	3973	10688
271	3986	10668
272	3998	10649
273	4012	10630
274	4025	10613
275	4046	10615
276	4060	10598
277	4078	10591
278	4091	10572
279	4104	10553
280	4117	10534
281	4129	10514
282	4147	10508
283	4161	10492
284	4176	10477
285	4192	10465
286	4204	10445
287	4216	10424
288	4229	10404
289	4243	10389
290	4256	10371
291	4268	10350
292	4288	10348
293	4301	10328
294	4313	10308
295	4324	10286
296	4339	10272
297	4355	10260
298	4370	10246
299	4386	10234
300	4405	10231
301	4418	10213
302	4437	10208
303	4457	10205
304	4470	10186
305	4484	10171
306	4496	10151
307	4509	10131
308	4528	10127
309	4546	10119
310	4562	10107
311	4578	10097
312	4593	10081
313	4611	10074
314	4627	10062
315	4643	10052
316	4659	10040
317	4673	10023
318	4685	10002
319	4697	9981
320	4712	9967
321	4726	9952
322	4739	9932
323	4753	9917
324	4765	9898
325	4778	9879
326	4791	9861
327	4804	9842
328	4824	9838
329	4838	9823
330	4854	9810
331	4867	9793
332	4880	9775
333	4894	9759
334	4907	9740
335	4920	9723
336	4940	9719
337	4960	9714
338	4975	9700
339	4992	9691
340	5009	9680
341	5022	9662
342	5034	9642
343	5050	9630
344	5060	9607
345	5071	9585
346	5084	9568
347	5097	9549
348	5110	9532
349	5127	9523
350	5149	9522
351	5163	9505
352	5180	9495
353	5195	9480
354	5208	9463
355	5228	9458
356	5244	9445
357	5261	9435
358	5279	9426
359	5298	9419
360	5314	9407
361	5329	9392
362	5347	9384
363	5360	9366
364	5378	9356
365	5392	9340
366	5405	9322
367	5417	9304
368	5435	9294
369	5445	9272
370	5460	9258
371	5473	9240
372	5487	9224
373	5502	9210
374	5518	9197
375	5531	9179
376	5542	9159
377	5556	9143
378	5569	9125
379	5584	9111
380	5600	9098
381	5614	9082
382	5629	9068
383	5641	9049
384	5657	9037
385	5675	9027
386	5697	9024
387	5733	9043
388	5750	9031
389	5764	9015
390	5778	9000
391	5810	9012
392	5832	9008
393	5851	9000
394	5867	8987
395	5882	8971
396	5895	8954
397	5915	8947
398	5930	8932
399	5941	8912
400	5955	8896
401	5968	8878
402	5984	8865
403	5999	8851
404	6013	8834
405	6025	8816
406	6035	8794
407	6046	8772
408	6056	8751
409	6066	8730
410	6077	8709
411	6088	8689
412	6098	8667
413	6107	8645
414	6119	8626
415	6130	8605
416	6142	8588
417	6156	8571
418	6169	8554
419	6184	8540
420	6196	8522
421	6210	8506
422	6223	8489
423	6235	8470
424	6247	8453
425	6258	8432
426	6269	8413
427	6280	8393
428	6289	8371
429	6300	8351
430	6310	8330
431	6320	8310
432	6330	8289
433	6339	8268
434	6352	8250
435	6364	8233
436	6376	8214
437	6390	8199
438	6403	8183
439	6415	8164
440	6427	8147
441	6438	8128
442	6451	8111
443	6463	8093
444	6476	8077
445	6485	8056
446	6496	8036
447	6505	8016
448	6517	7998
449	6527	7978
450	6537	7957
451	6547	7937
452	6563	7924
453	6576	7909
454	6588	7891
455	6602	7876
456	6613	7858
457	6625	7840
458	6635	7820
459	6645	7801
460	6654	7780
461	6664	7760
462	6676	7743
463	6687	7725
464	6697	7705
465	6707	7686
466	6717	7667
467	6727	7647
468	6737	7628
469	6747	7609
470	6757	7589
471	6770	7573
472	6783	7558
473	6802	7548
474	6817	7535
475	6836	7525
476	6853	7514
477	6869	7501
478	6886	7489
479	6903	7478
480	6918	7465
481	6934	7452
482	6949	7439
483	6966	7427
484	6980	7412
485	6998	7401
486	7012	7386
487	7023	7369
488	7104	7424
489	7131	7422
490	7161	7423
491	7187	7421
492	7251	7457
493	7278	7455
494	7292	7439
495	7342	7460
496	7352	7440
497	7362	7421
498	7375	7405
499	7385	7385
500	7401	7371
501	7418	7358
502	7434	7346
503	7451	7333
504	7470	7322
505	7482	7304
506	7498	7291
507	7514	7278
508	7531	7265
509	7548	7252
510	7563	7237
511	7578	7222
512	7589	7205
513	7601	7187
514	7612	7168
515	7622	7150
516	7634	7132
517	7643	7112
518	7654	7093
519	7664	7074
520	7674	7055
521	7686	7038
522	7698	7021
523	7709	7003
524	7720	6985
525	7736	6971
526	7747	6953
527	7757	6934
528	7768	6916
529	7778	6897
530	7787	6878
531	7798	6860
532	7808	6841
533	7818	6822
534	7829	6805
535	7839	6786
536	7850	6768
537	7863	6752
538	7875	6735
539	7886	6717
540	7898	6701
541	7911	6685
542	7923	6668
543	7934	6651
544	7949	6637
545	7963	6621
546	7976	6605
547	7986	6587
548	7996	6568
549	8005	6550
550	8015	6531
551	8026	6514
552	8036	6496
553	8047	6478
554	8057	6460
555	8067	6442
556	8077	6424
557	8087	6406
558	8096	6387
559	8107	6369
560	8120	6354
561	8133	6338
562	8145	6322
563	8156	6305
564	8172	6292
565	8183	6275
566	8193	6257
567	8204	6239
568	8214	6222
569	8224	6204
570	8234	6186
571	8245	6169
572	8254	6151
573	8265	6134
574	8275	6116
575	8285	6099
576	8296	6082
577	8305	6063
578	8315	6046
579	8327	6030
580	8338	6013
581	8351	5997
582	8362	5981
583	8380	5969
584	8390	5952
585	8400	5934
586	8410	5917
587	8420	5899
588	8429	5882
589	8439	5864
590	8449	5847
591	8459	5830
592	8470	5813
593	8480	5796
594	8491	5779
595	8502	5763
596	8512	5746
597	8521	5728
598	8533	5712
599	8544	5696
600	8557	5681
601	8569	5665
602	8584	5652
603	8597	5637
604	8609	5621
605	8620	5604
606	8630	5587
607	8640	5571
608	8651	5554
609	8662	5538
610	8672	5521
611	8683	5504
612	8693	5488
613	8703	5471
614	8714	5455
615	8723	5438
616	8734	5421
617	8746	5406
618	8758	5391
619	8770	5375
620	8781	5359
621	8795	5345
622	8807	5329
623	8820	5314
624	8832	5299
625	8843	5283
626	8853	5266
627	8864	5250
628	8874	5234
629	8883	5217
630	8894	5201
631	8904	5184
632	8914	5168
633	8924	5152
634	8935	5136
635	8949	5121
636	8965	5109
637	8982	5096
638	8998	5083
639	9014	5070
640	9031	5058
641	9047	5045
642	9063	5032
643	9080	5019
644	9096	5006
645	9112	4993
646	9128	4980
647	9145	4967
648	9160	4954
649	9178	4942
650	9196	4930
651	9212	4917
652	9229	4904
653	9246	4891
654	9262	4878
655	9280	4866
656	9298	4854
657	9317	4842
658	9335	4830
659	9349	4816
660	9361	4801
661	9373	4786
662	9386	4771
663	9399	4756
664	9413	4742
665	9428	4728
666	9441	4713
667	9456	4700
668	9469	4684
669	9480	4669
670	9492	4654
671	9502	4638
672	9513	4622
673	9523	4606
674	9533	4590
675	9544	4574
676	9554	4558
677	9565	4542
678	9575	4527
679	9585	4511
680	9598	4496
681	9611	4481
682	9622	4466
683	9634	4451
684	9646	4435
685	9662	4423
686	9674	4407
687	9684	4391
688	9695	4376
689	9706	4360
690	9716	4344
691	9725	4328
692	9735	4312
693	9745	4297
694	9756	4281
695	9766	4265
696	9775	4249
697	9785	4233
698	9795	4218
699	9808	4203
700	9820	4188
701	9833	4174
702	9845	4159
703	9860	4145
704	9874	4131
705	9885	4116
706	9895	4100
707	9907	4086
708	9917	4070
709	9927	4054
710	9937	4039
711	9947	4023
712	9957	4008
713	9968	3993
714	9980	3978
715	9990	3962
716	10000	3947
717	10012	3932
718	10024	3917
719	10036	3903
720	10048	3888
721	10060	3873
722	10076	3860
723	10090	3846
724	10105	3832
725	10120	3819
726	10136	3806
727	10153	3793
728	10169	3780
729	10185	3767
730	10202	3754
731	10232	3746
732	10249	3733
733	10265	3720
734	10279	3706
735	10294	3692
736	10309	3678
737	10325	3665
738	10336	3650
739	10350	3636
740	10365	3623
741	10380	3609
742	10396	3596
743	10408	3581
744	10420	3566
745	10432	3552
746	10445	3537
747	10459	3523
748	10474	3510
749	10487	3495
750	10500	3481
751	10514	3467
752	10528	3453
753	10539	3438
754	10551	3424
755	10562	3408
756	10573	3394
757	10587	3380
758	10602	3366
759	10616	3352
760	10630	3338
761	10648	3325
762	10664	3312
763	10680	3299
764	10696	3285
765	10710	3271
766	10722	3257
767	10736	3243
768	10765	3233
769	10786	3221
770	10804	3209
771	10819	3195
772	10931	3210
773	10969	3202
774	11009	3196
775	11057	3191
776	11095	3184
777	11117	3172
778	11162	3166
779	11209	3161
780	11225	3147
781	11240	3133
782	11256	3119
783	11269	3104
784	11281	3089
785	11296	3075
786	11315	3062
787	11331	3048
788	11346	3034
789	11362	3020
790	11378	3006
791	11393	2992
792	11408	2978
793	11423	2963
794	11441	2950
795	11457	2936
796	11474	2922
797	11487	2907
798	11504	2894
799	11520	2880
800	11536	2866
801	11554	2852
802	11570	2838
803	11588	2824
804	11604	2811
805	11620	2797
806	11633	2782
807	11648	2768
808	11662	2753
809	11674	2738
810	11690	2724
811	11706	2710
812	11721	2696
813	11736	2681
814	11750	2667
815	11765	2653
816	11781	2638
817	11796	2624
818	11812	2610
819	11828	2596
820	11844	2582
821	11859	2568
822	11874	2553
823	11886	2538
824	11900	2524
825	11917	2510
826	11931	2495
827	11946	2481
828	11961	2467
829	11978	2453
830	11994	2439
831	12012	2425
832	12045	2414
833	12062	2400
834	12078	2386
835	12093	2372
836	12108	2358
837	12124	2343
838	12139	2329
839	12155	2315
840	12171	2301
841	12187	2286
842	12200	2272
843	12213	2257
844	12229	2243
845	12242	2228
846	12256	2214
847	12272	2199
848	12288	2185
849	12304	2171
850	12321	2157
851	12338	2143
852	12354	2129
853	12370	2114
854	12386	2100
855	12402	2086
856	12422	2072
857	12443	2059
858	12459	2045
859	12472	2030
860	12487	2015
861	12502	2001
862	12518	1987
863	12533	1972
864	12549	1958
865	12564	1944
866	12579	1929
867	12595	1915
868	12611	1901
869	12627	1886
870	12642	1872
871	12654	1857
872	12668	1842
873	12682	1828
874	12697	1813
875	12714	1799
876	12731	1785
877	12744	1770
878	12757	1756
879	12769	1741
880	12786	1727
881	12802	1712
882	12818	1698
883	12835	1684
884	12847	1669
885	12869	1655
886	12886	1641
887	12902	1627
888	12918	1613
889	12933	1598
890	12950	1584
891	12965	1569
892	12981	1555
893	12993	1540
894	13005	1525
895	13021	1511
896	13036	1496
897	13054	1482
898	13070	1468
899	13088	1454
900	13100	1439
901	13116	1425
902	13133	1410
903	13149	1396
904	13165	1382
905	13183	1367
906	13200	1353
907	13215	1339
908	13232	1324
909	13242	1309
910	13258	1295
911	13274	1280
912	13295	1266
913	13307	1252
914	13321	1237
915	13336	1223
916	13352	1208
917	13368	1194
918	13386	1179
919	13402	1165
920	13471	1155
921	13505	1142
922	13548	1130
923	13591	1117
924	13662	1107
925	13708	1095
926	13725	1080
927	13747	1066
928	13776	1052
929	13835	1041
930	13849	1026
931	13865	1011
932	13881	996
933	13898	982
934	13913	967
935	13929	952
936	13944	937
937	13964	923
938	13977	908
939	13995	893
940	14010	878
941	14023	863
942	14035	848
943	14049	833
944	14063	818
945	14076	803
946	14092	788
947	14106	773
948	14118	758
949	14129	743
950	14140	728
951	14152	713
952	14164	698
953	14175	683
954	14186	668
955	14200	653
956	14216	638
957	14231	623
958	14245	609
959	14258	594
960	14277	579
961	14289	564
962	14303	549
963	14317	534
964	14332	519
965	14345	504
966	14360	490
967	14377	475
968	14392	460
969	14410	445
970	14424	430
971	14439	415
972	14456	401
973	14472	386
974	14486	371
975	14504	356
976	14517	341
977	14529	326
978	14542	311
979	14554	297
980	14564	282
981	14576	267
982	14587	252
983	14597	237
984	14608	222
985	14620	207
986	14635	192
987	14648	177
988	14661	163
989	14675	148
990	14689	133
991	14708	118
992	14721	103
993	14734	88
994	14749	74
995	14762	59
996	14773	44
997	14786	29
998	14799	14
999	14810	0
