Overall Qual,Gr Liv Area,Garage Cars,Garage Area,1st Flr SF,Total Bsmt SF,Lot Area,BsmtFin SF 1,Full Bath,year_since_remod,SalePrice,Log_SalePrice
7,7.502738210754851,2.0,469.0,6.859614903654202,952.0,7500,0.0,2,6,205000,12.230770136157428
8,7.202661196523238,2.0,550.0,7.202661196523238,1342.0,6240,3.2188758248682006,2,1,219500,12.299112067295642
9,7.619233416226805,3.0,780.0,7.619233416226805,2190.0,13438,7.472500744737558,2,1,410000,12.923914877701906
5,7.025538314638521,0.0,0.0,7.025538314638521,0.0,8335,0.0,1,52,93000,11.440365524765756
8,7.469083884921234,2.0,492.0,6.985641817639208,559.0,12134,6.059123195581797,2,5,164000,12.00762780434872
5,7.353081920515432,2.0,484.0,7.353081920515432,1560.0,8078,0.0,2,49,128600,11.76446986680519
4,6.8966943316227125,1.0,297.0,6.267200548541362,462.0,1596,6.082218910376446,1,35,94900,11.460589521950299
6,7.114769448366463,2.0,462.0,6.331501849893691,561.0,1488,6.156978985585555,1,17,137000,11.827743504053695
4,7.226209010100671,1.0,338.0,6.734591659972948,840.0,5400,5.755742213586912,1,59,105000,11.561725152903833
7,7.1049654482698426,2.0,497.0,7.1049654482698426,1188.0,9947,6.416732282512326,2,18,173000,12.06105265381003
5,6.878326468291325,2.0,624.0,6.878326468291325,970.0,8480,6.447305862541213,1,44,132500,11.794345471549745
7,7.530479995245536,3.0,660.0,6.779921907472252,879.0,14054,0.0,2,0,219210,12.29779001527865
6,6.744059186311348,2.0,420.0,6.744059186311348,848.0,4438,6.4967749901858625,1,4,144500,11.881041706925902
3,7.618251097876695,4.0,1041.0,7.618251097876695,0.0,43500,0.0,1,54,130000,11.775297421715827
5,6.680854678790215,1.0,336.0,6.680854678790215,796.0,7689,6.580639137284949,1,37,131900,11.789806920177805
5,7.016609683894219,0.0,0.0,7.016609683894219,1114.0,13072,0.0,1,5,142000,11.863589378812122
6,7.526178913346146,1.0,325.0,7.104144092987527,994.0,9525,6.09807428216624,2,34,136900,11.827013315851762
